session_idx,n_known,n_truth,prec@5_popularity,rec@5_popularity,prec@5_partial_cf,rec@5_partial_cf,prec@5_content_only,rec@5_content_only,prec@5_mixed,rec@5_mixed
888,2,7,0.0,0.0,0.2,0.14285714285714285,0.2,0.14285714285714285,0.4,0.2857142857142857
728,2,10,0.4,0.2,0.4,0.2,0.2,0.1,0.4,0.2
898,2,10,0.0,0.0,0.4,0.2,0.4,0.2,0.0,0.0
663,2,4,0.0,0.0,0.2,0.25,0.2,0.25,0.0,0.0
736,2,10,0.0,0.0,0.6,0.3,0.0,0.0,0.0,0.0
1164,2,8,0.0,0.0,0.0,0.0,0.2,0.125,0.2,0.125
1127,2,8,0.2,0.125,0.0,0.0,0.0,0.0,0.2,0.125
376,2,5,0.2,0.2,0.4,0.4,0.6,0.6,0.2,0.2
357,2,5,0.0,0.0,0.6,0.6,0.2,0.2,0.2,0.2
1073,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333
752,2,5,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0
798,2,5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
472,2,12,0.4,0.16666666666666666,0.2,0.08333333333333333,0.0,0.0,0.0,0.0
559,2,2,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5
968,2,6,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,0.2,0.16666666666666666
159,2,7,0.2,0.14285714285714285,0.2,0.14285714285714285,0.4,0.2857142857142857,0.2,0.14285714285714285
183,2,6,0.4,0.3333333333333333,0.2,0.16666666666666666,0.0,0.0,0.2,0.16666666666666666
606,2,7,0.4,0.2857142857142857,0.2,0.14285714285714285,0.2,0.14285714285714285,0.2,0.14285714285714285
74,2,6,0.2,0.16666666666666666,0.4,0.3333333333333333,0.0,0.0,0.0,0.0
1076,2,8,0.2,0.125,0.4,0.25,0.4,0.25,0.4,0.25
1008,2,10,0.2,0.1,0.4,0.2,0.4,0.2,0.4,0.2
584,2,7,0.2,0.14285714285714285,0.0,0.0,0.2,0.14285714285714285,0.2,0.14285714285714285
117,2,4,0.0,0.0,0.2,0.25,0.2,0.25,0.0,0.0
996,2,7,0.0,0.0,0.6,0.42857142857142855,0.0,0.0,0.0,0.0
505,2,7,0.2,0.14285714285714285,0.0,0.0,0.2,0.14285714285714285,0.2,0.14285714285714285
1040,2,3,0.0,0.0,0.2,0.3333333333333333,0.0,0.0,0.2,0.3333333333333333
1129,2,8,0.0,0.0,0.0,0.0,0.4,0.25,0.0,0.0
969,2,13,0.0,0.0,0.2,0.07692307692307693,0.4,0.15384615384615385,0.2,0.07692307692307693
408,2,14,0.4,0.14285714285714285,0.2,0.07142857142857142,0.2,0.07142857142857142,0.6,0.21428571428571427
367,2,11,0.4,0.18181818181818182,0.2,0.09090909090909091,0.2,0.09090909090909091,0.4,0.18181818181818182
1149,2,5,0.0,0.0,0.2,0.2,0.2,0.2,0.4,0.4
823,2,8,0.0,0.0,0.2,0.125,0.4,0.25,0.2,0.125
67,2,9,0.2,0.1111111111111111,0.4,0.2222222222222222,0.2,0.1111111111111111,0.2,0.1111111111111111
161,2,7,0.0,0.0,0.4,0.2857142857142857,0.4,0.2857142857142857,0.0,0.0
417,2,6,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
721,2,8,0.2,0.125,0.4,0.25,0.2,0.125,0.2,0.125
313,2,8,0.2,0.125,0.4,0.25,0.2,0.125,0.6,0.375
672,2,5,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0
537,2,6,0.0,0.0,0.4,0.3333333333333333,0.0,0.0,0.0,0.0
455,2,7,0.6,0.42857142857142855,0.2,0.14285714285714285,0.4,0.2857142857142857,0.6,0.42857142857142855
100,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1025,2,8,0.2,0.125,0.0,0.0,0.0,0.0,0.0,0.0
115,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1162,2,2,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0
692,2,3,0.0,0.0,0.4,0.6666666666666666,0.0,0.0,0.2,0.3333333333333333
1087,2,9,0.2,0.1111111111111111,0.4,0.2222222222222222,0.4,0.2222222222222222,0.6,0.3333333333333333
365,2,5,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.2
